Stress132,,Holds,Holds,UD Latencies,UD Latencies,DD Latencies,DD Latencies
,,mean,std,mean,std,mean,std
subject,sessionIndex,,,,,,
s246,2,109.597,47.947,0.416,86.449,110.126,70.589
s246,3,109.268,48.741,-1.324,74.907,107.959,58.887
s246,4,116.898,52.188,-6.877,77.735,109.631,58.493
s247,1,93.677,22.866,108.059,116.515,200.673,115.372
s247,2,91.74,26.927,97.024,119.206,188.01,118.069
s247,3,92.809,31.821,93.869,111.864,185.89,109.852
s247,4,84.696,32.607,97.973,100.343,181.513,96.199
s248,1,59.088,14.502,135.526,134.681,195.043,134.668
s248,2,59.285,15.34,121.472,117.819,181.398,117.848
s248,3,58.251,13.498,100.616,91.072,159.473,91.724
s248,4,58.813,13.864,101.336,96.076,160.867,96.492
s249,1,67.899,14.599,65.701,95.602,133.97,93.41
s249,2,77.093,19.982,54.095,78.203,131.72,75.45
s249,3,75.46,19.427,46.549,72.936,122.384,69.24
s249,4,73.76,20.714,53.141,86.704,127.218,83.41
s250,1,67.834,16.104,104.116,141.407,171.604,140.364
s250,2,68.747,16.883,89.652,119.224,158.37,117.286
s250,3,68.009,15.765,73.051,95.123,140.976,94.336
s250,4,66.997,16.663,71.742,95.469,138.386,95.578
s251,1,76.933,32.613,66.075,108.729,143.267,99.18
s251,2,80.777,32.249,75.604,132.924,156.767,125.827
s251,3,75.494,27.098,65.329,91.042,140.847,86.537
s251,4,74.444,29.287,63.318,92.239,138.021,85.921
s252,1,94.56,33.679,13.851,57.985,107.213,45.493
s252,2,94.569,33.602,12.734,70.727,106.055,60.137
s252,3,88.054,32.457,17.725,58.901,104.771,46.36
s252,4,87.601,29.517,15.76,74.482,101.745,66.577
s253,1,115.797,31.981,70.647,104.374,185.329,101.851
s253,2,111.437,37.101,64.832,101.334,175.012,91.258
s253,3,92.013,31.872,54.047,89.456,146.187,78.961
s253,4,98.818,35.683,58.673,88.81,157.325,76.653
s254,1,92.079,23.351,30.534,78.147,120.481,75.019
s254,2,101.279,29.424,18.198,71.747,116.947,69.007
s254,3,98.152,28.845,11.625,63.87,106.164,61.682
s254,4,100.89,29.808,14.86,73.367,111.938,71.13
s255,1,56.452,15.735,85.666,146.729,142.206,147.518
s255,2,57.671,13.734,73.294,108.215,130.571,108.18
s255,3,53.249,12.07,66.302,89.907,119.552,90.476
s255,4,54.808,12.941,65.542,90.698,120.137,90.636
s256,1,83.254,27.663,92.69,108.832,176.464,108.868
s256,2,80.023,26.479,76.55,101.781,157.061,97.593
s256,3,78.038,25.597,64.902,79.286,143.396,72.012
s256,4,77.455,26.639,61.097,67.39,139.167,58.564
s257,1,109.35,36.999,-13.164,54.868,94.724,41.198
s257,2,116.968,44.753,-15.738,68.323,99.242,50.11
s257,3,112.797,43.362,-18.583,65.063,92.189,47.351
s257,4,111.936,44.439,-10.93,71.349,99.25,55.606
s258,1,99.775,36.377,49.095,108.018,150.149,101.308
s258,2,103.132,38.208,33.207,99.847,137.822,94.59
